tourney_id,tourney_name,surface,draw_size,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpFaced,w_bpSaved,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpFaced,l_bpSaved,winner_rank,winner_rank_points,loser_rank,loser_rank_points,tourney_date
2021540,Wimbledon,Grass,128,143,122298,Botic Van De Zandschulp,R,188,NED,26,103893,Paolo Lorenzi,R,183,ITA,40,7-5 6-3,92,6,4,81,49,38,15,11,10,9,0,0,62,34,23,12,10,5,2,139,540,165,428,2021-06-28 00:00:00
2021560,Us Open,Hard,128,136,106331,Christopher Oconnell,R,183,AUS,27,123795,Altug Celikbilek,U,183,TUR,25,6-2 6-4,76,11,1,62,42,36,7,0,4,4,5,9,60,24,16,18,0,9,6,126,634,174,427,2021-08-30 00:00:00
2021540,Wimbledon,Grass,128,180,126127,Benjamin Bonzi,R,185,FRA,25,127157,Daniel Altmaier,R,191,GER,23,6-4 6-3,74,6,0,52,29,23,12,10,3,1,7,1,66,41,25,10,9,15,11,119,683,166,427,2021-06-28 00:00:00
2021560,Us Open,Hard,128,183,208029,Holger Rune,R,185,DEN,18,106283,Mitchell Krueger,R,188,USA,28,6-4 6-1,73,4,0,44,31,25,9,0,0,0,2,1,57,36,21,10,0,12,8,145,541,175,426,2021-08-30 00:00:00
2021581,Australian Open,Hard,128,177,106293,Kimmer Coppejans,R,180,BEL,27,105633,Mohamed Safwat,R,183,EGY,30,6-3 6-4,89,2,0,60,43,32,9,10,2,1,8,0,54,33,22,10,9,8,5,175,368,153,425,2021-01-10 00:00:00
2021520,Roland Garros,Clay,128,849,126846,Aleksandar Vukic,R,188,AUS,25,106393,Frederico Ferreira Silva,L,178,POR,26,6-3 6-1,61,7,0,42,27,25,9,8,1,1,2,0,55,37,21,7,8,7,3,209,334,168,425,2021-05-31 00:00:00
2020520,Roland Garros,Clay,128,123,105731,Steven Diez,R,180,CAN,30,125802,Ilya Ivashka,R,193,BLR,26,6-1 2-6 6-4,143,1,4,85,50,29,13,13,14,8,0,8,95,54,32,13,12,12,4,181,322,136,425,2020-09-28 00:00:00
2021540,Wimbledon,Grass,128,174,106045,Denis Kudla,R,180,USA,29,200390,Kacper Zuk,R,183,POL,22,7-6(1) 6-4,76,6,2,60,35,30,15,11,1,0,6,2,65,44,32,10,12,4,2,114,698,168,425,2021-06-28 00:00:00
2021540,Wimbledon,Grass,128,158,105147,Tatsuma Ito,R,180,JPN,33,111200,Elias Ymer,R,183,SWE,25,6-3 6-4,80,2,3,73,48,31,15,10,8,7,7,2,58,38,26,9,9,8,5,227,304,167,425,2021-06-28 00:00:00
2021581,Australian Open,Hard,128,189,106288,Mathias Bourgue,R,188,FRA,27,105641,Blaz Rola,L,193,SLO,30,6-2 6-7(4) 6-3,186,9,7,115,67,48,30,15,8,8,8,5,93,50,34,24,14,7,4,214,281,154,424,2021-01-10 00:00:00
2021540,Wimbledon,Grass,128,118,126125,Maxime Janvier,R,193,FRA,25,105877,Emilio Gomez,R,185,ECU,30,6-1 3-6 6-3,115,7,2,92,68,48,11,13,6,5,5,6,84,51,34,16,12,10,7,232,301,169,424,2021-06-28 00:00:00
2021581,Australian Open,Hard,128,191,105441,John Patrick Smith,L,188,AUS,32,134868,Tallon Griekspoor,R,188,NED,24,2-6 6-3 6-4,106,5,0,78,55,38,17,14,5,3,4,1,74,51,36,14,13,6,4,315,143,155,423,2021-01-10 00:00:00
2020520,Roland Garros,Clay,128,165,122078,Dmitry Popko,R,191,KAZ,24,106214,Oscar Otte,R,196,GER,27,7-5 7-6(5),125,2,1,81,46,32,20,12,9,7,8,3,96,44,32,25,12,14,11,171,336,137,423,2020-09-28 00:00:00
2021520,Roland Garros,Clay,128,841,106368,Ramkumar Ramanathan,R,188,IND,26,111581,Michael Mmoh,R,188,USA,23,2-6 7-6(4) 6-3,114,2,6,94,56,47,17,15,5,3,1,6,84,58,46,14,14,6,5,216,321,169,423,2021-05-31 00:00:00
2021540,Wimbledon,Grass,128,181,106393,Frederico Ferreira Silva,L,178,POR,26,105633,Mohamed Safwat,R,183,EGY,31,7-5 6-3,87,7,1,64,48,35,9,11,7,5,4,1,72,40,25,12,10,12,8,176,410,170,423,2021-06-28 00:00:00
2021540,Wimbledon,Grass,128,209,109054,Daniel Masur,R,183,GER,27,124116,Sebastian Ofner,R,191,AUT,25,6-3 6-3 5-7 6-1,130,12,5,121,82,62,18,19,7,5,11,9,99,58,44,14,18,11,5,222,316,171,422,2021-06-28 00:00:00
